brand,model,year,body_type,engine_size,cylinders,turbo,horsepower,torque_nm,weight,wheelbase_mm,length_mm,width_mm,height_mm,doors,seats,transmission,fuel_type,drivetrain,odometer_km,city_ratio,battery_kwh,emission_std,co2_gpkm,l_per_100km,price,target_mileage
Toyota,RAV4,2005,crossover,1.76,4,0,141.0,254,1761.0,2584,4345,1778,1553,5,5,automatic,hybrid,FWD,358819.0,0.46,2.08,EURO 4,89.7,4.48,9373,22.3
Honda,CR-V,2011,hatchback,1.94,4,1,186.0,300,1414.0,2591,4402,1815,1451,5,5,manual,petrol,FWD,345848.0,0.366,0.0,EURO 5,125.3,5.24,16127,19.1
Nissan,Rogue,2021,crossover,1.79,4,1,190.0,344,1890.0,2601,4407,1776,1564,5,5,cvt,hybrid,FWD,75509.0,0.495,1.55,EURO 6d,83.7,4.18,22381,23.9
Chevrolet,Equinox,2023,sedan,2.1,4,0,168.0,248,1637.0,2663,4395,1823,1438,4,5,manual,diesel,FWD,48220.0,0.613,0.0,EURO 6d,116.4,4.41,30606,22.67
Kia,Rio,2012,crossover,1.76,4,1,204.0,331,1995.0,2573,4377,1802,1564,5,5,automatic,petrol,FWD,198178.0,0.544,0.0,EURO 5,171.0,7.15,17558,13.99
Ford,Escape,2023,hatchback,3.16,6,1,319.0,540,1831.0,2822,4690,1875,1492,5,5,dct,petrol,AWD,37887.0,0.582,0.0,EURO 6d,199.6,8.34,36871,11.98
Honda,CR-V,2023,suv,1.36,4,1,182.0,268,1801.0,2555,4392,1804,1645,5,5,automatic,hybrid,FWD,39775.0,0.102,2.3,EURO 6d,79.4,3.97,29634,25.18
Ford,F-150,2016,crossover,2.38,6,0,191.0,354,1985.0,2708,4490,1814,1570,5,5,manual,diesel,FWD,129173.0,0.504,0.0,EURO 6,164.5,6.23,19786,16.05
Honda,CR-V,2011,suv,3.59,8,0,240.0,448,2294.0,2898,5054,1968,1635,5,5,manual,diesel,FWD,250496.0,0.462,0.0,EURO 5,157.6,5.97,23784,16.75
Mercedes,GLC,2016,pickup,3.69,8,0,350.0,576,2584.0,3064,5181,1875,1411,4,5,manual,hybrid,FWD,66042.0,0.792,2.21,EURO 6,133.1,6.66,32741,15.02
Honda,Fit,2016,suv,2.31,6,0,159.0,262,2160.0,2686,4720,1900,1639,5,5,manual,petrol,FWD,163122.0,0.519,0.0,EURO 6,129.0,5.39,24231,18.54
Nissan,Rogue,2008,sedan,4.8,8,0,322.0,600,2099.0,3036,5063,1961,1432,4,5,automatic,petrol,FWD,431940.0,0.345,0.0,EURO 4,199.9,8.36,18505,11.96
Ford,Escape,2023,sedan,1.36,4,1,178.0,249,1408.0,2550,4336,1746,1448,4,5,manual,diesel,FWD,32364.0,0.206,0.0,EURO 6d,123.7,4.69,27436,21.34
Volkswagen,Passat,2021,hatchback,1.8,4,1,189.0,249,1441.0,2620,4369,1774,1428,5,5,automatic,hybrid,RWD,0.0,0.198,1.69,EURO 6d,89.3,4.47,27455,22.39
Audi,A3,2021,crossover,2.4,6,0,255.0,377,2112.0,2659,4562,1878,1560,5,5,automatic,petrol,AWD,87012.0,0.33,0.0,EURO 6d,132.4,5.54,33985,18.06
Chevrolet,Silverado,2010,crossover,1.91,4,1,237.0,332,1821.0,2628,4298,1794,1562,5,5,manual,petrol,AWD,333171.0,0.405,0.0,EURO 5,141.1,5.9,14410,16.95
Chevrolet,Cruze,2019,suv,1.01,3,1,162.0,185,1795.0,2555,4376,1807,1632,5,5,automatic,diesel,AWD,78704.0,0.183,0.0,EURO 6,104.9,3.97,23367,25.16
Toyota,RAV4,2008,crossover,3.11,6,0,191.0,342,2146.0,2775,4669,1873,1569,5,5,manual,petrol,FWD,450000.0,0.264,0.0,EURO 4,158.9,6.64,12003,15.05
Honda,Civic,2011,suv,1.16,3,1,167.0,266,1892.0,2539,4434,1806,1611,5,5,automatic,diesel,AWD,348116.0,0.089,0.0,EURO 5,151.2,5.73,12297,17.46
BMW,3 Series,2023,hatchback,0.87,3,1,156.0,225,1289.0,2525,4194,1728,1474,5,5,manual,diesel,RWD,32053.0,0.597,0.0,EURO 6d,120.1,4.55,24838,21.98
Kia,Sportage,2011,wagon,2.95,6,0,197.0,366,2057.0,2724,4685,1893,1457,5,5,automatic,diesel,FWD,255982.0,0.411,0.0,EURO 5,,5.88,18258,17.01
Chevrolet,Cruze,2015,sedan,1.43,4,1,172.0,263,1397.0,2522,4269,1783,1453,4,5,automatic,hybrid,FWD,54030.0,0.231,1.29,EURO 6,78.6,3.93,23653,25.45
BMW,X5,2005,suv,1.59,4,1,237.0,327,1806.0,2608,4525,1830,1618,5,7,automatic,petrol,FWD,256238.0,0.209,0.0,EURO 4,163.9,6.85,14422,14.59
Ford,Fusion,2013,crossover,3.52,8,0,250.0,411,2282.0,2851,4789,1872,1584,5,5,automatic,diesel,FWD,161818.0,0.866,0.0,EURO 5,194.3,7.36,23632,13.58
Toyota,Camry,2021,hatchback,2.82,6,1,271.0,418,1677.0,2735,4626,1823,1436,5,5,automatic,diesel,FWD,39991.0,0.299,0.0,EURO 6d,150.4,5.7,31993,17.55
Nissan,Altima,2023,suv,1.47,4,0,127.0,206,1908.0,2545,4447,1836,1595,5,5,manual,hybrid,FWD,56537.0,0.149,1.87,EURO 6d,76.5,3.82,29178,26.15
Kia,Sportage,2015,pickup,3.17,6,0,208.0,338,2577.0,2998,5099,1867,1505,4,5,manual,hybrid,AWD,169827.0,0.099,1.23,EURO 6,125.5,6.28,24313,15.93
Honda,Fit,2018,crossover,2.15,4,0,132.0,241,1926.0,2593,4426,1791,1576,5,5,automatic,petrol,FWD,93336.0,0.127,0.0,EURO 6,119.5,5.0,23949,20.02
Toyota,Camry,2021,wagon,1.49,4,1,131.0,228,1704.0,2559,4281,1759,1442,5,5,manual,diesel,RWD,31705.0,0.171,0.0,EURO 6d,113.7,4.31,28146,23.21
Hyundai,Tucson,2022,crossover,2.58,6,0,177.0,315,2080.0,2712,4522,1848,1590,5,5,manual,petrol,FWD,46695.0,0.371,0.0,EURO 6d,148.8,6.22,27924,16.08
Toyota,Prius,2014,sedan,1.86,4,1,186.0,299,1555.0,2659,4483,1762,1482,4,5,automatic,diesel,FWD,290394.0,0.482,0.0,EURO 5,131.6,4.98,19045,20.06
Mercedes,GLC,2024,crossover,2.55,6,0,261.0,430,1998.0,2677,4563,1857,1583,5,5,automatic,diesel,FWD,16648.0,0.82,0.0,EURO 6d,182.1,6.9,35010,14.49
Volkswagen,Passat,2012,suv,3.89,8,0,297.0,505,2401.0,2901,5066,1975,1638,5,7,automatic,hybrid,FWD,365960.0,0.487,1.64,EURO 5,115.5,5.77,18483,17.32
Chevrolet,Cruze,2022,hatchback,1.23,4,0,130.0,199,1262.0,2546,4220,1766,1452,5,5,automatic,hybrid,FWD,67101.0,0.218,1.76,EURO 6d,77.8,3.89,15498,25.7
Nissan,Rogue,2020,sedan,1.73,4,0,135.0,214,1442.0,2575,4294,1836,1446,4,5,automatic,petrol,RWD,168007.0,0.545,0.0,EURO 6,123.9,5.18,21796,19.3
Volkswagen,Golf,2016,sedan,2.7,6,1,272.0,414,1733.0,2731,4582,1871,1461,4,5,automatic,petrol,FWD,,0.632,0.0,EURO 6,160.3,6.7,23058,14.92
Chevrolet,Cruze,2010,sedan,4.02,8,0,300.0,549,2170.0,2877,4922,1930,1458,4,5,manual,hybrid,AWD,276127.0,0.434,1.86,EURO 5,125.3,6.26,21648,15.97
Hyundai,Sonata,2006,hatchback,1.61,4,0,125.0,226,1448.0,2586,4216,1738,1449,5,5,automatic,petrol,AWD,377842.0,0.498,0.0,EURO 4,136.8,5.72,10265,17.49
Honda,Fit,2024,crossover,2.78,6,1,242.0,416,2073.0,2760,4729,1844,1578,5,5,manual,petrol,FWD,13976.0,0.325,0.0,EURO 6d,151.2,6.32,36568,15.82
Toyota,Corolla,2022,crossover,1.3,4,1,150.0,259,1643.0,2515,4178,1747,1596,5,5,automatic,petrol,FWD,36827.0,0.382,0.0,EURO 6d,151.0,6.31,23552,15.84
Toyota,Camry,2019,hatchback,2.97,6,1,250.0,417,1693.0,2703,4692,1852,1473,5,5,automatic,petrol,FWD,105862.0,0.359,0.0,EURO 6,154.9,6.48,31429,15.44
